date,1. open,2. high,3. low,4. close,5. volume
2021-03-31 12:35:00,192.9799,193.13,192.7537,193.13,8687.0
2021-03-31 12:34:00,192.69,192.92,192.6409,192.92,8427.0
2021-03-31 12:33:00,191.9313,192.82,191.8,192.82,17527.0
2021-03-31 12:32:00,192.165,192.32,191.88,192.23,6684.0
2021-03-31 12:31:00,191.89,192.3899,191.88,192.3546,9118.0
2021-03-31 12:30:00,192.0702,192.39,191.88,191.89,13675.0
2021-03-31 12:29:00,191.82,192.25,191.57,191.85,14450.0
2021-03-31 12:28:00,192.25,192.25,191.46,191.67,17875.0
2021-03-31 12:27:00,192.972,193.15,191.875,192.1076,42861.0
2021-03-31 12:26:00,193.02,193.02,192.8,192.945,7067.0
2021-03-31 12:25:00,193.4455,193.4455,192.99,193.1794,9330.0
2021-03-31 12:24:00,193.5199,193.59,193.3228,193.455,8855.0
2021-03-31 12:23:00,193.38,193.58,193.2183,193.39,2220.0
2021-03-31 12:22:00,193.6262,193.78,193.53,193.6,4977.0
2021-03-31 12:21:00,193.7,193.7,193.41,193.55,4441.0
2021-03-31 12:20:00,193.29,193.64,193.24,193.45,4718.0
2021-03-31 12:19:00,193.0372,193.29,192.8106,193.0236,5851.0
2021-03-31 12:18:00,192.905,193.2924,192.886,193.2924,4705.0
2021-03-31 12:17:00,193.5203,193.5203,193.0,193.0,15197.0
2021-03-31 12:16:00,193.62,193.7799,193.39,193.7799,5360.0
2021-03-31 12:15:00,193.7,193.7267,193.1,193.25,8299.0
2021-03-31 12:14:00,194.0,194.044,193.77,193.925,4007.0
2021-03-31 12:13:00,194.0,194.45,193.6375,194.1,10268.0
2021-03-31 12:12:00,193.65,194.0392,193.6,193.9,7977.0
2021-03-31 12:11:00,193.33,193.7199,193.1201,193.5,8058.0
2021-03-31 12:10:00,193.34,193.93,193.3,193.3,10706.0
2021-03-31 12:09:00,193.1752,193.2297,193.1122,193.2297,4004.0
2021-03-31 12:08:00,193.355,193.355,192.7646,192.9928,7083.0
2021-03-31 12:07:00,193.0,193.4899,192.9682,193.22,8843.0
2021-03-31 12:06:00,193.577,193.61,193.0,193.0267,13551.0
2021-03-31 12:05:00,193.19,193.69,192.69,193.58,16550.0
2021-03-31 12:04:00,192.32,193.29,192.32,193.0,28090.0
2021-03-31 12:03:00,193.6549,193.9522,192.2201,192.53,53414.0
2021-03-31 12:02:00,194.81,194.81,193.21,193.23,35471.0
2021-03-31 12:01:00,195.5911,195.5911,194.75,194.8265,8695.0
2021-03-31 12:00:00,195.525,195.71,195.31,195.31,10710.0
2021-03-31 11:59:00,195.2999,195.7,195.0001,195.7,9989.0
2021-03-31 11:58:00,194.7495,195.3,194.7,195.15,16220.0
2021-03-31 11:57:00,194.7233,194.8,194.22,194.6049,10652.0
2021-03-31 11:56:00,194.82,194.9699,194.5003,194.75,9715.0
2021-03-31 11:55:00,194.815,195.14,194.6614,194.8246,17662.0
2021-03-31 11:54:00,194.81,195.0,194.5,194.84,9332.0
2021-03-31 11:53:00,195.1039,195.4474,194.76,194.76,10368.0
2021-03-31 11:52:00,195.5,195.9,194.51,195.0689,30793.0
2021-03-31 11:51:00,196.51,196.9168,195.36,195.8508,26469.0
2021-03-31 11:50:00,196.1,196.66,196.0,196.495,21583.0
2021-03-31 11:49:00,197.07,197.07,196.02,196.185,23218.0
2021-03-31 11:48:00,196.27,197.14,196.15,197.0745,40669.0
2021-03-31 11:47:00,196.4,196.4,195.63,196.02,18262.0
2021-03-31 11:46:00,195.13,196.61,195.13,196.225,46306.0
2021-03-31 11:45:00,195.53,195.53,194.475,195.4377,12045.0
2021-03-31 11:44:00,195.0051,195.8,195.0051,195.4,26356.0
2021-03-31 11:43:00,194.9,195.49,194.9,195.0254,16152.0
2021-03-31 11:42:00,195.0,195.19,194.6,194.8999,9452.0
2021-03-31 11:41:00,194.3676,195.2,194.1,194.8661,20852.0
2021-03-31 11:40:00,195.02,195.2481,194.5,194.5,16636.0
2021-03-31 11:39:00,194.62,195.4655,194.5833,195.14,9276.0
2021-03-31 11:38:00,195.0,195.1526,194.63,194.8,7376.0
2021-03-31 11:37:00,195.65,195.78,195.0301,195.125,13940.0
2021-03-31 11:36:00,194.69,195.78,194.69,195.6651,16422.0
2021-03-31 11:35:00,194.9891,195.699,194.65,194.8844,39276.0
2021-03-31 11:34:00,194.49,195.0,194.395,195.0,19623.0
2021-03-31 11:33:00,194.0,194.96,194.0,194.5,34853.0
2021-03-31 11:32:00,193.45,194.17,193.45,194.0,27581.0
2021-03-31 11:31:00,193.01,193.7499,192.5,193.6,16051.0
2021-03-31 11:30:00,193.02,193.4337,192.83,193.1699,5411.0
2021-03-31 11:29:00,193.02,193.45,192.7601,193.45,8377.0
2021-03-31 11:28:00,193.4,193.4,192.7806,193.0202,8344.0
2021-03-31 11:27:00,193.6,193.73,193.3,193.4,6740.0
2021-03-31 11:26:00,193.36,193.51,193.1878,193.51,8376.0
2021-03-31 11:25:00,192.94,193.5,192.79,193.401,9602.0
2021-03-31 11:24:00,193.22,193.28,192.6101,193.06,13588.0
2021-03-31 11:23:00,193.3218,193.6952,193.0239,193.4,4725.0
2021-03-31 11:22:00,193.6599,194.01,193.3593,193.3593,13540.0
2021-03-31 11:21:00,193.67,194.17,193.4339,193.86,14390.0
2021-03-31 11:20:00,193.295,193.635,193.295,193.635,11019.0
2021-03-31 11:19:00,193.0,193.46,192.6,193.4261,28130.0
2021-03-31 11:18:00,193.1506,193.7,192.99,193.0,21087.0
2021-03-31 11:17:00,194.18,194.21,192.89,193.17,36097.0
2021-03-31 11:16:00,194.3803,194.89,194.0284,194.1939,12255.0
2021-03-31 11:15:00,194.85,194.9,194.14,194.18,9741.0
2021-03-31 11:14:00,194.5502,195.1074,194.1875,194.86,15761.0
2021-03-31 11:13:00,194.66,194.735,193.5371,194.465,29537.0
2021-03-31 11:12:00,194.8173,195.0,194.65,194.84,7550.0
2021-03-31 11:11:00,194.6432,195.0,194.26,194.82,13826.0
2021-03-31 11:10:00,194.66,194.81,194.22,194.4903,29756.0
2021-03-31 11:09:00,194.8797,195.31,194.74,194.74,17042.0
2021-03-31 11:08:00,194.9497,195.4568,194.8501,195.0,16746.0
2021-03-31 11:07:00,197.29,197.29,194.69,195.0,60529.0
2021-03-31 11:06:00,196.29,197.25,196.29,197.145,62168.0
2021-03-31 11:05:00,195.9595,196.83,195.8211,196.3079,25986.0
2021-03-31 11:04:00,196.55,196.77,195.3162,195.77,41739.0
2021-03-31 11:03:00,195.7639,196.5,195.5,196.5,26868.0
2021-03-31 11:02:00,195.94,195.94,195.1401,195.74,18680.0
2021-03-31 11:01:00,196.0,196.1871,195.27,195.64,29748.0
2021-03-31 11:00:00,196.09,196.52,195.7201,196.09,41132.0
2021-03-31 10:59:00,194.7178,196.3,194.7178,196.3,45718.0
2021-03-31 10:58:00,195.0666,195.0666,194.32,194.93,18391.0
2021-03-31 10:57:00,195.04,195.46,194.7298,194.88,15015.0
2021-03-31 10:56:00,194.58,195.4296,194.56,195.185,22352.0
2021-03-31 10:55:00,195.4343,196.09,194.56,194.6243,30311.0
2021-03-31 10:54:00,195.02,196.2143,194.9065,195.51,48052.0
2021-03-31 10:53:00,195.68,195.69,194.78,195.1292,44034.0
2021-03-31 10:52:00,195.59,196.49,195.0,195.3361,61677.0
2021-03-31 10:51:00,193.93,196.2,193.85,195.2301,94940.0
2021-03-31 10:50:00,192.8568,193.93,192.8568,193.71,23023.0
2021-03-31 10:49:00,192.4686,193.0,192.4686,193.0,11448.0
2021-03-31 10:48:00,192.46,192.5135,192.01,192.5,9459.0
2021-03-31 10:47:00,192.9998,192.9998,192.08,192.385,9018.0
2021-03-31 10:46:00,191.95,192.9231,191.9,192.5,7589.0
2021-03-31 10:45:00,192.8919,193.0799,191.9,191.9,19349.0
2021-03-31 10:44:00,192.5444,193.3304,192.5444,192.93,15362.0
2021-03-31 10:43:00,192.76,192.894,192.1,192.67,16754.0
2021-03-31 10:42:00,193.0001,193.4404,192.583,192.74,21266.0
2021-03-31 10:41:00,192.6799,193.7999,192.4171,193.4839,49549.0
2021-03-31 10:40:00,192.1599,192.6,191.46,192.4497,18464.0
2021-03-31 10:39:00,191.05,192.3,190.985,192.025,39239.0
2021-03-31 10:38:00,190.1909,191.0612,189.96,191.0587,13902.0
2021-03-31 10:37:00,190.5,190.6713,190.1829,190.21,7824.0
2021-03-31 10:36:00,190.87,191.054,189.981,190.25,16569.0
2021-03-31 10:35:00,191.25,191.68,190.27,190.8211,15392.0
2021-03-31 10:34:00,190.5867,191.1228,190.105,191.1228,13497.0
2021-03-31 10:33:00,189.9999,190.7999,189.9395,190.4736,18145.0
2021-03-31 10:32:00,190.705,190.705,189.5809,190.07,28723.0
2021-03-31 10:31:00,191.23,191.23,190.6,190.6,14576.0
2021-03-31 10:30:00,191.2,191.49,191.0,191.49,9759.0
2021-03-31 10:29:00,190.84,191.45,190.63,191.45,19435.0
2021-03-31 10:28:00,191.3806,191.3806,190.82,190.82,16468.0
2021-03-31 10:27:00,192.1563,192.1563,191.22,191.4136,25512.0
2021-03-31 10:26:00,191.69,192.2699,191.6,191.94,35083.0
2021-03-31 10:25:00,191.12,191.98,191.12,191.62,28743.0
2021-03-31 10:24:00,191.47,191.61,190.85,191.12,28313.0
2021-03-31 10:23:00,190.4324,191.88,190.1473,191.2,37794.0
2021-03-31 10:22:00,190.8352,191.1564,189.9,190.335,34647.0
2021-03-31 10:21:00,189.585,190.93,189.5287,190.79,29094.0
2021-03-31 10:20:00,189.2,190.4,189.2,189.77,41152.0
2021-03-31 10:19:00,188.37,189.55,188.12,189.26,28780.0
2021-03-31 10:18:00,189.2697,189.61,188.3447,188.37,31512.0
2021-03-31 10:17:00,189.0,189.9869,188.5001,189.2676,29246.0
2021-03-31 10:16:00,187.56,189.2718,187.1102,188.9764,72974.0
2021-03-31 10:15:00,189.33,190.1,187.25,187.89,133243.0
2021-03-31 10:14:00,190.95,191.11,188.89,189.32,96449.0
2021-03-31 10:13:00,190.2,191.76,190.11,190.81,39153.0
2021-03-31 10:12:00,190.98,191.366,190.05,190.2001,58473.0
2021-03-31 10:11:00,192.7933,192.9493,190.52,190.5676,50678.0
2021-03-31 10:10:00,192.53,192.9718,192.11,192.67,14390.0
2021-03-31 10:09:00,193.535,193.75,192.34,192.34,13324.0
2021-03-31 10:08:00,193.02,193.8618,192.5101,193.59,24256.0
2021-03-31 10:07:00,192.08,193.6,192.0101,193.03,35384.0
2021-03-31 10:06:00,192.88,193.4,192.01,192.0399,29504.0
2021-03-31 10:05:00,193.845,194.1499,192.96,193.0,32149.0
2021-03-31 10:04:00,194.29,194.3285,193.59,193.59,9389.0
2021-03-31 10:03:00,194.7261,194.7261,193.48,193.795,30397.0
2021-03-31 10:02:00,194.05,195.0,193.97,194.7213,25282.0
2021-03-31 10:01:00,193.8,194.65,193.5,194.28,24570.0
2021-03-31 10:00:00,194.65,194.65,193.6,193.8,35216.0
2021-03-31 09:59:00,194.7999,195.3299,194.0,194.65,36295.0
2021-03-31 09:58:00,194.0,194.7,193.38,194.7,31775.0
2021-03-31 09:57:00,194.4699,194.69,193.589,194.108,44904.0
2021-03-31 09:56:00,192.9703,194.458,192.43,194.3341,52816.0
2021-03-31 09:55:00,191.44,193.0,191.285,193.0,43011.0
2021-03-31 09:54:00,191.85,192.155,190.81,191.295,90546.0
2021-03-31 09:53:00,193.22,193.26,192.0,192.08,39787.0
2021-03-31 09:52:00,192.13,193.48,192.13,193.4799,46982.0
2021-03-31 09:51:00,194.24,194.24,191.68,192.2,113829.0
2021-03-31 09:50:00,195.425,195.66,194.03,194.03,39073.0
2021-03-31 09:49:00,196.02,196.45,195.2,195.46,25575.0
2021-03-31 09:48:00,196.3,197.43,195.28,196.0001,70391.0
2021-03-31 09:47:00,194.529,196.2,194.5241,196.0771,39420.0
2021-03-31 09:46:00,195.6,196.4999,194.2255,194.2255,34689.0
2021-03-31 09:45:00,195.4049,196.54,194.87,196.2799,41078.0
2021-03-31 09:44:00,197.2454,197.2454,194.08,195.145,102749.0
2021-03-31 09:43:00,196.54,197.7188,196.1901,197.2,24650.0
2021-03-31 09:42:00,197.915,198.08,195.7746,196.4,63806.0
2021-03-31 09:41:00,197.51,199.46,197.44,198.099,78095.0
2021-03-31 09:40:00,196.21,198.5,195.71,197.94,50855.0
